Country Name,Componenta1,Componenta2,Componenta3,Componenta4,Componenta5
Afghanistan,0.0056344143093258565,0.34885385170552696,0.023293604695685886,2.117091110988023,0.11093817996798247
Albania,0.00020973533237854728,0.01000661234165482,0.11195777072461437,0.4441950880673121,0.0006329983531533501
Algeria,0.7674276878768185,4.18869864755889,1.3070676224379028,0.8130237856212184,0.13835955853430276
Angola,0.6662072722271802,0.04801867667197511,0.3481152602609347,1.1026029860592683,0.03280663360890057
Argentina,0.14348883251028827,0.16321633622378215,0.06192847389879265,2.681558225402747,0.006528406440986578
Armenia,0.6173877615887968,1.673861458386732,0.7780185329722554,0.4291787325054379,0.02780215146219337
Australia,0.01185307862304014,0.2678739770415477,0.25194136515516163,0.6665793143607341,0.04635272249296374
Austria,0.001641116208596095,0.8157904279775464,0.07632741703687458,0.07633552075387773,0.038271133012243934
Azerbaijan,0.5198288223564737,0.8017582984986952,0.47238184853842685,0.12549894170760542,0.014062649302592092
Bahrain,4.121092488197233,0.937306996723342,0.7535480620872432,0.014489541889682952,1.1056592360135595
Bangladesh,0.1262540838074277,0.15595600942517596,0.5153738481153178,1.616811338651276,1.22352294885253
Belarus,0.22273890274142238,0.8692044484774429,0.09935404567515384,0.03129933537185154,0.7759477444252179
Belgium,1.6951447561637503,1.13557393384955,0.06349622709532361,0.0006019791690722006,4.6005781865860005
Belize,0.020890178205513314,0.6382869564094154,0.14207553249512223,0.0845629456665964,0.024211811667478506
Benin,0.873392694825162,0.004499669966845521,1.2971827711177781,0.005112109111197982,0.18165345449834255
Bolivia,0.10543813844448441,0.10695504494605114,0.2467454753754988,0.03414863129685263,0.3177072175497497
Bosnia and Herzegovina,0.018220931506959807,0.6862408521395897,0.07996386907977399,0.07078949245453656,0.19252876062420668
Botswana,0.00200730781194216,0.19085197185622615,0.00016705673574841739,0.5301410258679337,0.1368788203724011
Brazil,0.4071124240878965,0.18343105771463292,0.4761640042275129,0.04818152157930373,1.8093050457865445
Brunei Darussalam,0.1382035556190259,0.6591489031096044,0.7764738697025988,2.265912062140372,0.30775769362237126
Bulgaria,0.606386101579792,0.011463855320518315,0.41829895759909647,0.7086817019973349,0.2528305106972228
Burkina Faso,0.6423212721445223,0.9464429153914288,1.5032187879679586,1.4767112778659492,0.1060073790038535
Burundi,0.4735460197078415,1.6092301985439543,3.065283287525872,0.7951833979834623,0.050565803474474924
Cabo Verde,0.04460501566896636,0.03114002168549051,0.00047945438122052865,2.2389117060531976,0.058384142995069416
Cambodia,0.5843550555407171,0.6754404101456939,0.08712440561518897,1.0356049909673266,0.9948314130269629
Cameroon,0.9125202919109379,0.00016717296617288033,0.09893353115768933,0.005322930880483769,0.39410942906088037
Canada,0.0328690611188073,0.07873737619810899,0.2289009450005439,0.21453241015972188,0.052704571909465696
Central African Republic,1.5484748560659682,0.3866926022927949,1.654557113855754,1.3018248894856437,0.00012362884781241424
Chad,0.6846652843626724,1.649590449862581,2.6194671062636314,0.6676639585517415,1.1161816600009893
Chile,2.3258008965131863e-05,0.050633327526593316,0.23563131007419372,0.3015514273418136,0.007237701191162752
China,0.01881139703517534,0.13297960549356153,0.16656330298394662,0.6732354582696877,0.254137412890869
Colombia,0.03776511391255745,0.02807961288826859,0.9045454590392953,0.2889857579951552,1.9333957391273304
"Congo, Dem. Rep.",2.0231669460202966,0.09514997607078436,1.7713658380086568,1.0499207497960878,0.009222091930193141
"Congo, Rep.",0.3474508929365576,0.03525051129764235,0.06904948768650038,3.3707543117521914,0.22358093287522712
Costa Rica,0.34402809285037506,1.1272819673853045,0.0908814469499205,0.4797410854017783,0.44269343803104727
Cote d'Ivoire,0.2003231358331921,0.40189638849801596,0.19713322033392863,0.5275586109508958,0.10913648033670692
Croatia,0.0336839012442553,0.06702740520252883,0.17593530506553307,0.04151609943054812,0.028494445079915914
Cyprus,0.0025170998772606062,0.07784430130277227,0.10910431184799739,0.6639944185229774,0.000702143658101134
Czech Republic,0.9717285866246829,1.221938375286014,0.007767217101362161,0.08477412302891253,3.1093258993806034
Denmark,0.02207473138422641,0.022712636672974504,0.045402575060550565,0.8599016581396433,0.09440432946637914
Dominican Republic,0.16087538766842868,0.19892123225093886,0.07813144737794463,0.6822426657356818,0.6038824386917295
Ecuador,0.03151739465920976,0.02620984137623284,0.5093504926152307,0.022565753498230277,0.8595997808385547
"Egypt, Arab Rep.",0.007606854927416127,0.49173899273049543,0.03680581735388284,2.523523474186104,0.02286554901633697
El Salvador,0.03213099774828389,0.05034411809135787,0.017457609362637915,0.46955750653242206,0.0003137668135859537
Equatorial Guinea,0.5354306324641136,1.643389539617237,0.00040956436339966427,1.919373885114147,0.6312792535759354
Estonia,0.2384641220271602,0.9066064753700284,0.32229186573517155,0.6958743740859917,0.17996120708914518
Eswatini,0.018580620411550692,0.002620419743408627,0.011108417374519468,0.10151859882529356,0.4573229358771917
Ethiopia,1.1477299160348962,0.3782973019341916,0.8875917216587715,0.5542886665672297,0.00010864062532484189
Fiji,0.011915599801286226,0.7817189062074533,0.34493198716572826,0.09032105194664858,0.22357933675308944
Finland,0.14744809444016604,1.104161172254687,0.4841276459892733,0.14755070483196556,0.9289818110466657
France,0.002024672793075673,0.011631018145662423,0.2212033187299441,0.20260564402323983,0.17423279393085844
Gabon,0.2986110363196068,1.7979742869935784,0.4139298902769815,1.1972918298888995,1.551683759574848
"Gambia, The",0.39478496733411594,0.03710575970959483,0.5438140577733921,0.18840360622391375,0.0026347502350966604
Georgia,0.03614779405995371,0.15826963487934803,0.2263813260744067,0.0005285733472121902,0.00753884760652431
