,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
Componenta1,1.4850653518780699,29.70130703756139,1.4850653518780699,29.70130703756139
Componenta2,1.3081463784399663,26.16292756879932,2.793211730318036,55.86423460636071
Componenta3,0.9491170004884563,18.98234000976912,3.7423287308064923,74.84657461612983
Componenta4,0.663066258611781,13.261325172235619,4.405394989418273,88.10789978836544
Componenta5,0.5946050105817283,11.892100211634563,5.000000000000001,100.0
