Country Name,Componenta1,Componenta2,Componenta3,Componenta4,Componenta5
Afghanistan,0.004276616697509662,0.23324151242749175,0.011299583525832883,0.7174678757551312,0.03371441159403449
Albania,0.0007513106356240946,0.03157517681251948,0.25631638383097755,0.7104492381258439,0.000907890595034893
Algeria,0.1343799477593933,0.6460808937355765,0.14627471062072872,0.06356405843710011,0.009700389447201408
Angola,0.46379543328624895,0.02944679709990247,0.1548867787466326,0.34272645292371356,0.009144537943502297
Argentina,0.09398370227153584,0.09416919317600257,0.02592382086207342,0.7842112014174617,0.00171208227292655
Armenia,0.2211407358040609,0.5281302228454181,0.17810448797858106,0.06863731557155524,0.003987237800384867
Australia,0.01634879707091675,0.32545874181151296,0.22208964155342065,0.41050441584522507,0.025598403718924564
Austria,0.002005194206642673,0.8780242062762229,0.05960351320105061,0.04164425929479112,0.01872282702129273
Azerbaijan,0.32701051990835295,0.4442788200211337,0.18991914944087093,0.03524948651406206,0.00354202411558039
Bahrain,0.7011643330074038,0.140475339805932,0.08193936593729241,0.0011007114204163886,0.07532024982895553
Bangladesh,0.06995516251298523,0.076117975118426,0.18250337455798415,0.39998623349488943,0.2714372543157152
Belarus,0.1618098161300004,0.5562134754374375,0.04612841492110516,0.010152085506525433,0.2256962080049317
Belgium,0.37025559428826,0.21848470078576002,0.00886373872614281,5.8706699460706155e-05,0.4023372595003766
Belize,0.028958275256890636,0.7793944237036619,0.12587052000682541,0.05233858930325964,0.013438191729362448
Benin,0.4902814746078531,0.002224986433283882,0.46538382763837993,0.001281289909990973,0.04082842141049203
Bolivia,0.21095976525129398,0.1885011291199852,0.3155188340238435,0.030506091480893806,0.2545141801239834
Bosnia and Herzegovina,0.023285317481682073,0.7725007927834767,0.06530998354615883,0.04039166441931051,0.09851224176937194
Botswana,0.004347298803120418,0.3640935167929431,0.00023122974210763387,0.5126350468671484,0.11869290779468043
Brazil,0.25146680518879433,0.09980446154531118,0.1879736855328281,0.013287956016323356,0.4474670917167429
Brunei Darussalam,0.05880986129189285,0.24707297801338526,0.2111698788096993,0.4305120906573156,0.05243519122770689
Bulgaria,0.46592321096769984,0.007759014823760157,0.20541212565301958,0.24312392033526922,0.07778172822025127
Burkina Faso,0.20465790090057942,0.26563262412243893,0.30610652866602495,0.21007925322350196,0.01352369308745482
Burundi,0.1120713102689526,0.33547581010927985,0.46363590686923667,0.08402546527522815,0.004791507477302779
Cabo Verde,0.04072145428360186,0.02504201500884141,0.000279744181120248,0.9126156525677461,0.021341133958690413
Cambodia,0.278832873930193,0.2838997348326336,0.026569365576291942,0.2206341160464327,0.19006390961444877
Cameroon,0.8032248608060566,0.00012961982687415157,0.055656040753600956,0.00209197649666388,0.13889750211680443
Canada,0.08995178281711855,0.18980785988226015,0.4003540708970444,0.2621360501221338,0.057750236281443074
Central African Republic,0.438929854582974,0.09655340739640843,0.29974152564289447,0.1647611812110328,1.4031166690340184e-05
Chad,0.15024897990939537,0.3188747532734518,0.3673841032728908,0.06541879199947992,0.09807337154478223
Chile,6.98951177419865e-05,0.13403602940995996,0.45256555024594947,0.4046197324767497,0.008708792749598859
China,0.029176380585670066,0.18167960767903274,0.16510638812924272,0.4662176490445045,0.15781997456154997
Colombia,0.024463346487383988,0.016022377552145244,0.37448088292744713,0.08358202145391146,0.5014513715791121
"Congo, Dem. Rep.",0.5451007869386035,0.022582111579888445,0.3050194541872778,0.126302797455078,0.000994849839152127
"Congo, Rep.",0.17224770487560806,0.01539345866790657,0.021877347198650775,0.7461024624320853,0.044379026825749256
Costa Rica,0.192565937261543,0.5558132520652194,0.03251134821791984,0.11989576309999946,0.09921369935531835
Cote d'Ivoire,0.20876197727998486,0.3689310201572774,0.13129684641218128,0.24547223149884675,0.04553792465170972
Croatia,0.14326672228554518,0.2511227879838716,0.4782446549365816,0.07884076796322634,0.04852506683077538
Cyprus,0.005752518895273723,0.15670945776457879,0.15935793985830615,0.6775375931721128,0.0006424903097285561
Czech Republic,0.2912984644403043,0.3226660687726266,0.0014881025033373525,0.011346655906388855,0.37320070837734276
Denmark,0.044791377017136834,0.04059544606155152,0.05887808259522626,0.7790388854138518,0.07669620891223365
Dominican Republic,0.17253240694684566,0.18791999536140366,0.05355267031843552,0.32668659408604905,0.2593083332872661
Ecuador,0.04291671425747443,0.03143774049780122,0.4432687060412144,0.013719470723224754,0.46865736848028516
"Egypt, Arab Rep.",0.004753782240099378,0.2706945891692782,0.014700252804929608,0.704130022278815,0.005721353506877815
El Salvador,0.10803495062573797,0.14910753172364458,0.037514488062896686,0.7049206235936699,0.0004224059940508672
Equatorial Guinea,0.17310822934893902,0.46802149130221193,8.462737077433731e-05,0.2770674098066353,0.0817182421714395
Estonia,0.14667501111769118,0.4912048850505935,0.12669416525429328,0.19110642558619292,0.04431951299122906
Eswatini,0.07246088112064272,0.009001710467809006,0.02768660951199335,0.17676666873055144,0.7140841301690034
