,Componenta1,Componenta2,Componenta3,Componenta4,Componenta5
Densitate Populatie,0.4434805942495422,0.45076743767163513,0.8101870184500599,0.8223444313884035,1.0000000000000004
Schimbul de marfuri(%GDP),0.45503675572193686,0.6792377457844856,0.6884330053289485,0.7545163313171966,0.9999999999999994
Zona acoperita de paduri(%),0.08265883353117284,0.6857241292992314,0.7119807746067417,0.8773730155756314,1.0000000000000004
Cheltuieli Militare(%GDP),0.19503521395058146,0.6120409998682319,0.7001368715543438,0.9721439664632932,1.0000000000000016
Acces la electricitate(%),0.3088539544248362,0.3654414176944516,0.8315910608663981,0.9790172446737482,0.9999999999999994
